Date,Admissions
2004-04-11,172
2004-04-18,179
2004-04-25,201
2004-05-02,192
2004-05-09,200
2004-05-16,217
2004-05-23,185
2004-05-30,181
2004-06-06,174
2004-06-13,204
2004-06-20,203
2004-06-27,196
2004-07-04,208
2004-07-11,178
2004-07-18,192
2004-07-25,187
2004-08-01,182
2004-08-08,193
2004-08-15,201
2004-08-22,178
2004-08-29,199
2004-09-05,171
2004-09-12,187
2004-09-19,172
2004-09-26,201
2004-10-03,200
2004-10-10,207
2004-10-17,173
2004-10-24,194
2004-10-31,174
2004-11-07,195
2004-11-14,194
2004-11-21,186
2004-11-28,186
2004-12-05,210
2004-12-12,184
2004-12-19,182
2004-12-26,189
2005-01-02,160
2005-01-09,189
2005-01-16,176
2005-01-23,200
2005-01-30,182
2005-02-06,191
2005-02-13,161
2005-02-20,182
2005-02-27,198
2005-03-06,171
2005-03-13,190
2005-03-20,197
2005-03-27,192
2005-04-03,186
2005-04-10,167
2005-04-17,188
2005-04-24,200
2005-05-01,173
2005-05-08,203
2005-05-15,184
2005-05-22,175
2005-05-29,174
2005-06-05,179
2005-06-12,180
2005-06-19,199
2005-06-26,184
2005-07-03,209
2005-07-10,190
2005-07-17,204
2005-07-24,166
2005-07-31,197
2005-08-07,213
2005-08-14,192
2005-08-21,203
2005-08-28,177
2005-09-04,176
2005-09-11,195
2005-09-18,199
2005-09-25,173
2005-10-02,168
2005-10-09,194
2005-10-16,182
2005-10-23,181
2005-10-30,181
2005-11-06,187
2005-11-13,203
2005-11-20,202
2005-11-27,177
2005-12-04,198
2005-12-11,198
2005-12-18,216
2005-12-25,213
2006-01-01,173
2006-01-08,164
2006-01-15,187
2006-01-22,167
2006-01-29,167
2006-02-05,211
2006-02-12,200
2006-02-19,204
2006-02-26,182
2006-03-05,188
2006-03-12,187
2006-03-19,186
2006-03-26,174
2006-04-02,184
2006-04-09,203
2006-04-16,178
2006-04-23,187
2006-04-30,180
2006-05-07,206
2006-05-14,169
2006-05-21,202
2006-05-28,183
2006-06-04,166
2006-06-11,176
2006-06-18,185
2006-06-25,206
2006-07-02,187
2006-07-09,174
2006-07-16,175
2006-07-23,220
2006-07-30,172
2006-08-06,195
2006-08-13,178
2006-08-20,190
2006-08-27,171
2006-09-03,182
2006-09-10,195
2006-09-17,184
2006-09-24,213
2006-10-01,194
2006-10-08,189
2006-10-15,169
2006-10-22,183
2006-10-29,199
2006-11-05,198
2006-11-12,189
2006-11-19,179
2006-11-26,175
2006-12-03,189
2006-12-10,202
2006-12-17,197
2006-12-24,191
2006-12-31,194
2007-01-07,184
2007-01-14,188
2007-01-21,190
2007-01-28,186
2007-02-04,205
2007-02-11,190
2007-02-18,211
2007-02-25,182
2007-03-04,179
2007-03-11,188
2007-03-18,215
2007-03-25,181
2007-04-01,195
2007-04-08,182
2007-04-15,190
2007-04-22,177
2007-04-29,178
2007-05-06,203
2007-05-13,214
2007-05-20,178
2007-05-27,187
2007-06-03,206
2007-06-10,169
2007-06-17,182
2007-06-24,186
2007-07-01,202
2007-07-08,210
2007-07-15,172
2007-07-22,189
2007-07-29,190
2007-08-05,158
2007-08-12,182
2007-08-19,178
2007-08-26,187
2007-09-02,193
2007-09-09,210
2007-09-16,162
2007-09-23,179
2007-09-30,195
2007-10-07,189
2007-10-14,190
2007-10-21,182
2007-10-28,186
2007-11-04,188
2007-11-11,198
2007-11-18,202
2007-11-25,190
2007-12-02,180
2007-12-09,187
2007-12-16,181
2007-12-23,171
2007-12-30,198
2008-01-06,195
2008-01-13,208
2008-01-20,183
2008-01-27,188
2008-02-03,195
2008-02-10,196
2008-02-17,187
2008-02-24,189
2008-03-02,165
2008-03-09,181
2008-03-16,205
2008-03-23,180
2008-03-30,189
2008-04-06,186
2008-04-13,171
2008-04-20,189
2008-04-27,169
2008-05-04,171
2008-05-11,210
2008-05-18,188
2008-05-25,189
2008-06-01,199
2008-06-08,206
2008-06-15,200
2008-06-22,187
2008-06-29,184
2008-07-06,162
2008-07-13,183
2008-07-20,162
2008-07-27,207
2008-08-03,200
2008-08-10,182
2008-08-17,198
2008-08-24,203
2008-08-31,183
2008-09-07,191
2008-09-14,160
2008-09-21,191
2008-09-28,188
2008-10-05,193
2008-10-12,183
2008-10-19,165
2008-10-26,202
2008-11-02,186
2008-11-09,197
2008-11-16,198
2008-11-23,174
2008-11-30,174
2008-12-07,206
2008-12-14,185
2008-12-21,192
2008-12-28,180
2009-01-04,57
