ds,yhat,yhat_lower,yhat_upper
2009-02-28,26.71951213647525,20.221243765655878,32.867618460242824
2009-03-01,27.185282531154044,21.2236728855416,33.7310606662499
2009-03-02,26.771803776458903,20.146736939364963,33.081033475653115
2009-03-03,26.58038360922832,20.152934709425747,32.8947678337381
2009-03-04,26.708417310116882,20.654982593442966,33.19155035673955
2009-03-05,27.23558622188545,20.9678101100097,33.90177273947887
2009-03-06,26.517965034485655,19.814295946508288,33.25669737151117
2009-03-07,26.552697697996024,20.257023862244107,33.01815908531965
2009-03-08,27.018533243712106,20.571889028020976,33.423591018766004
2009-03-09,26.61002127612327,20.294505298554483,33.52647476770859
2009-03-10,26.428226485989114,19.87482812469991,32.27080057516034
2009-03-11,26.570138960812898,19.82375282457204,33.164914341574345
2009-03-12,27.114884096132418,20.498438711910456,33.71845259020004
2009-03-13,26.41784644208638,20.147899476781273,33.10116344514625
2009-03-14,26.47536688006548,19.907184427809664,32.75500775770295
2009-03-15,26.9653037883602,20.534959904304962,33.18544961127421
2009-03-16,26.58125720088919,19.99323763917203,33.065101319560924
2009-03-17,26.423314435730145,19.519319194040925,32.76053868010114
2009-03-18,26.587493007496622,20.095488131023906,33.09164035908459
2009-03-19,27.15198360497142,20.870638799147503,34.10769628557357
2009-03-20,26.471306417930887,20.0801442642442,33.040504599903656
2009-03-21,26.541039161146717,20.309012427998837,32.96803786696737
2009-03-22,27.03840644395123,20.53682536251862,33.66312771807614
2009-03-23,26.656528546818777,20.277432381094023,32.94747265464577
2009-03-24,26.49518723693394,19.749651876959014,32.84843876122335
2009-03-25,26.65028371707233,20.202534887424463,33.40398231873972
2009-03-26,27.20009091829735,20.516370862304136,33.62779020342607
2009-03-27,26.499413017517373,19.748442903406414,32.672559427048434
2009-03-28,26.544310307727873,19.988460794846183,32.78984107558888
2009-03-29,27.012679040720595,20.352001824627497,33.27029870526497
2009-03-30,26.59848447023396,19.835179606409312,32.9061283967535
